58,7.67,B' R' D' R2 F2 D' B2 R2 F2 D' F2 L2 U2 L R' B' L' R U' B' R'
59,7.61,U2 B L' D R' L' D2 B' R F U2 D2 R2 B' L2 F U2 F2 R2 F R2
61,7.24,D' B' D' L' F' U F' L' F B2 R2 U2 R2 U' B2 U' B2 D' B2 D2
62,8.17,D' F' R2 U' R2 F R' L F' R2 F2 B2 U' F2 R2 B2 R2 D' R2 B2 U2
63,6.63,D' B' F2 D' L2 D L2 R2 F2 D U F2 B L D F' L2 B L'
64,7.09,D L B2 F2 U' F2 L2 D2 B2 D B2 U R' F' L' R2 D F' D2 F2
65,6.79,D2 L D2 B2 R U2 R D2 R' F2 R F' U' F L B U' R' B' L'
66,8.38,L B2 D B2 U' F2 R2 D' B2 L2 F2 D' B' L D2 U' L2 D L D'
67,8.11,R U2 L2 U' F2 D F2 L2 U F2 D2 B D2 F U2 L' U2 F' D'
68,6.83,D2 L' R2 B' D2 U2 F R2 B F U2 L2 R' U' B R' B' D' U' R
69,7.76,D2 B' L2 U2 B' D2 B L2 F' L2 F2 U' L R' D L2 D F D' B U2
70,8.45,B' L2 D2 L2 F2 D2 B' L2 B L2 U R B D U F D U2 R
71,7.78,U R F' L2 B2 U' R2 D' L2 D' F2 R2 D' R D2 F2 U2 F2 R2 F
72,9.89,R B D F' L F2 D L' F' U2 B L2 B' R2 F2 U2 F U2 D2 L2
73,9.78,U2 L D' L2 B2 D' F2 U2 B2 U F2 D' L' D' L' D2 B U R' F
74,6.73,B D2 R2 U L2 U' F' L U R' U2 L' D2 R' U2 R2 U2 B2 R D2 L2
75,9.8,B2 U' D' R D R F L' U2 F2 R2 D2 B D2 L2 B' L2 U
76,9.65,B R2 B U2 B2 U2 R2 D2 B D2 L2 B' L D' F' L B2 D B2 L' B'
77,7.91,R2 B2 L2 D B2 D L2 U2 R2 U2 R2 F L' D B2 D2 F' R2 F L'
78,8.69,L' D U2 R' B2 D2 U2 R' F2 L' U2 L' U2 R2 F D B2 U' L B' U2
80,8.18,R B2 R' U2 F2 R2 D2 F2 U2 F2 R U R2 F' L F2 U' F U R2
